縣市,縣市人數,地址,等級,公廁所在場所,公廁性質,尿布台組,數字
臺南市,2868409,臺南市新營區永平里長春街２號,特優級,商業營業場所,性別友善廁所,0,
臺南市,2868409,臺南市新營區民生里民生路62號,普通級,交通,女廁所,0,
臺南市,2868409,臺南市新化區那拔里牧場７２號,特優級,社福機構、集會場所,男廁所,0,
臺南市,2868409,臺南市新營區大宏里中山路１１９號,特優級,民眾洽公場所,女廁所,0,
臺南市,2868409,臺南市新營區大宏里三民路７２號,特優級,民眾洽公場所,女廁所,0,
臺南市,2868409,臺南市新營區大宏里三民路３６之１號,特優級,商業營業場所,混合廁所,0,
臺南市,2868409,臺南市白河區白河里中山路６號,特優級,民眾洽公場所,女廁所,0,
臺南市,2868409,臺南市新化區護國里中山路９１號,特優級,民眾洽公場所,女廁所,0,
臺中市,2868409,臺中市龍井區田中村臨港東路一段75號,特優級,商業營業場所,混合廁所,0,
臺中市,2868409,臺中市霧峰區南柳村中正路473.475號,特優級,商業營業場所,女廁所,0,
臺南市,2868409,臺南市新市區新市里復興路２號,特優級,民眾洽公場所,女廁所,0,
臺南市,2868409,臺南市下營區新興里洲子66號,特優級,民眾洽公場所,女廁所,0,
臺南市,2868409,臺南市玉井區玉井里中正路２１巷２３號,特優級,商業營業場所,無障礙廁所,1,
高雄市,2715827,高雄市旗津區南汕里中洲二路259號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市旗津區南汕里中洲二路259號,特優級,商業營業場所,女廁所,0,
高雄市,2715827,高雄市旗津區南汕里旗津三路,優等級,公園,男廁所,0,
彰化縣,1208018,彰化縣田中鎮頂潭里崁頂路153號,特優級,宗教禮儀場所,男廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1201號,特優級,商業營業場所,男廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路1201號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路1201號,特優級,商業營業場所,無障礙廁所,0,
高雄市,2715827,高雄市前鎮區瑞崗里瑞隆路432號,特優級,商業營業場所,男廁所,0,
彰化縣,1208018,彰化縣田中鎮西路里斗中路一段224號,特優級,民眾洽公場所,混合廁所,0,
彰化縣,1208018,彰化縣大城鄉東城村中平路163號,特優級,文化育樂活動場所,無障礙廁所,0,
高雄市,2715827,高雄市前鎮區瑞崗里瑞隆路432號,特優級,商業營業場所,女廁所,0,
高雄市,2715827,高雄市前鎮區興東里一心一路374號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市前鎮區興東里一心一路374號,特優級,商業營業場所,女廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,男廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,男廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市三民區安發里平等路12號,特優級,文化育樂活動場所,男廁所,0,
高雄市,2715827,高雄市三民區安發里平等路12號,特優級,文化育樂活動場所,女廁所,0,
臺南市,2868409,臺南市玉井區玉井里中正路２１巷２３號,特優級,商業營業場所,女廁所,0,
